Time,Time_Period,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Exp_Order,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Cause_of_accident,Accident_severity
17:02:00,Evening,Monday,18-30,Male,Above High School,Employee,1-2,2,Automobile,Owner,Above 10 years,No Defect,Residential area,Unknown,Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Unknown,Moving Backward,Slight Injury
17:02:00,Evening,Monday,31-50,Male,Junior High School,Employee,10-20,5,Public Transport,Owner,5-10 years,No Defect,Office area,Two Way (Undivided),Flat Road,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Unknown,Overtaking,Slight Injury
17:02:00,Evening,Monday,18-30,Male,Junior High School,Employee,1-2,2,Lorry,Owner,Unknown,No Defect,Recreational area,Other,Unknown,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,Slight,Driver,Normal,Changing lane to the left,Serious Injury
1:06:00,Night,Sunday,18-30,Male,Junior High School,Employee,5-10,4,Public Transport,Governmental,Unknown,No Defect,Office area,Other,Flat Road,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,18-30,Slight,Driver,Unknown,Changing lane to the right,Slight Injury
1:06:00,Night,Sunday,18-30,Male,Junior High School,Employee,2-5,3,Unknown,Owner,5-10 years,No Defect,Industrial area,Other,Flat Road,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,Overtaking,Slight Injury
14:15:00,Afternoon,Friday,31-50,Male,Junior High School,Unknown,No License,6,Unknown,Owner,Unknown,Unknown,Unknown,Unknown,Unknown,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,U-Turn,Driver or rider,Male,31-50,Slight,Driver,Normal,Overloading,Slight Injury
17:30:00,Evening,Wednesday,18-30,Male,Junior High School,Employee,2-5,3,Automobile,Owner,Unknown,No Defect,Residential area,Two Way (Undivided),Flat Road,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Female,18-30,Slight,Driver,Normal,Other,Slight Injury
17:20:00,Evening,Friday,18-30,Male,Junior High School,Employee,2-5,3,Automobile,Governmental,Above 10 years,No Defect,Residential area,Other,Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,Unspecified,Unknown,Unknown,No Injury,Driver,Normal,No priority to vehicle,Slight Injury
17:20:00,Evening,Friday,18-30,Male,Junior High School,Employee,10-20,5,Lorry,Owner,1-2 years,No Defect,Industrial area,Other,Flat Road,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,Slight,Driver,Normal,Changing lane to the right,Slight Injury
17:20:00,Evening,Friday,18-30,Male,Junior High School,Employee,1-2,2,Automobile,Owner,2-5 years,No Defect,Residential area,Two Way (Undivided),Flat Road,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,Passenger,Male,18-30,Slight,Driver,Normal,Moving Backward,Serious Injury
